name,repository
vinycoolguy2015-awslambda,https://github.com/vinycoolguy2015/awslambda
k8s-wait-for,https://github.com/groundnuty/k8s-wait-for
carlos-curso-k8s,https://gitlab.com/cedon/curso-k8s
DevOps-The-Hard-Way-AWS,https://github.com/AdminTurnedDevOps/DevOps-The-Hard-Way-AWS
terraform-up-and-running-code,https://github.com/brikis98/terraform-up-and-running-code
ampernetacle,https://github.com/jpetazzo/ampernetacle
extremeshok-docker-webserver,https://github.com/extremeshok/docker-webserver
github-gitignore,https://github.com/github/gitignore
docker-webserver,https://github.com/extremeshok/docker-webserver
awesome-compose,https://github.com/docker/awesome-compose
