name,repository
mknurs-dot,https://gitlab.com/mknurs/dot
wilfred-dotfiles,https://github.com/Wilfred/dotfiles
gerhard-setup,https://github.com/gerhard/setup
mathiasbynens-dotfiles,https://github.com/mathiasbynens/dotfiles
ambrevar-dotfiles,https://gitlab.com/ambrevar/dotfiles
alezost-config,https://github.com/alezost/config
alezost-shell-config,https://github.com/alezost/shell-config
sircmpwn-dotfiles,https://git.sr.ht/~sircmpwn/dotfiles
ejpcmac-config,https://github.com/ejpcmac/config
hlissner-dotfiles,https://github.com/hlissner/dotfiles
lourkeur-config,https://github.com/lourkeur/config
