name,repository
abo-abo-oremacs,https://github.com/abo-abo/oremacs
jwiegley-dot-emacs,https://github.com/jwiegley/dot-emacs
purcell-emacs.d,https://github.com/purcell/emacs.d
envrc,https://github.com/purcell/envrc
prelude,https://github.com/bbatsov/prelude
doom-emacs,https://github.com/hlissner/doom-emacs
spacemacs,https://github.com/syl20bnr/spacemacs
unpackaged.el,https://github.com/alphapapa/unpackaged.el
bufler.el,https://github.com/alphapapa/bufler.el
emacs-async,https://github.com/jwiegley/emacs-async
use-package,https://github.com/jwiegley/use-package
lsp-mode,https://github.com/emacs-lsp/lsp-mode
