name,repository
pro-go,https://github.com/Apress/pro-go
learn-go-with-tests,https://github.com/quii/learn-go-with-tests
goplio,https://github.com/adonovan/gopl.io
project-layout,https://github.com/golang-standards/project-layout
go-patterns,https://github.com/tmrts/go-patterns
gitea,https://github.com/go-gitea/gitea
traefik,https://github.com/traefik/traefik
terraform,https://github.com/hashicorp/terraform
github-cli,https://github.com/cli/cli
kind,https://github.com/kubernetes-sigs/kind
kubectl,https://github.com/kubernetes/kubectl
docker-compose,https://github.com/docker/compose
go-tools,https://github.com/golang/tools
go,https://go.googlesource.com/go
