name,branch,url
nyxt,master,https://github.com/atlas-engineer/nyxt
stumpwm-contrib,master,https://github.com/stumpwm/stumpwm-contrib
stumpwm,master,https://github.com/stumpwm/stumpwm
cl-cookbook,master,https://github.com/LispCookbook/cl-cookbook
quicklisp-client,master,https://github.com/quicklisp/quicklisp-client
quicklisp-bootstrap,master,https://github.com/quicklisp/quicklisp-bootstrap
quicklisp-controller,master,https://github.com/quicklisp/quicklisp-controller
clx,master,https://github.com/franzinc/clx
alexandria,master,https://gitlab.common-lisp.net/alexandria/alexandria
asdf,master,https://gitlab.common-lisp.net/asdf/asdf
sbcl,master,git://git.code.sf.net/p/sbcl/sbcl
