name,branch,url
gitbits-git-info,master,https://github.com/gitbits/git-info
ericdallo-dotfiles,master,https://github.com/ericdallo/dotfiles
madic-sway-de,master,https://github.com/Madic-/Sway-DE
mknurs-dot,main,https://gitlab.com/mknurs/dot
wilfred-dotfiles,master,https://github.com/Wilfred/dotfiles
gerhard-setup,master,https://github.com/gerhard/setup
mathiasbynens-dotfiles,main,https://github.com/mathiasbynens/dotfiles
ambrevar-dotfiles,master,https://gitlab.com/ambrevar/dotfiles
alezost-config,master,https://github.com/alezost/config
alezost-shell-config,master,https://github.com/alezost/shell-config
sircmpwn-dotfiles,master,https://git.sr.ht/~sircmpwn/dotfiles
ejpcmac-config,master,https://github.com/ejpcmac/config
hlissner-dotfiles,master,https://github.com/hlissner/dotfiles
lourkeur-config,main,https://github.com/lourkeur/config
