name,branch,url
ruby-lsp,main,https://github.com/Shopify/ruby-lsp
browser,main,https://github.com/fnando/browser
brew,master,https://github.com/Homebrew/brew
sidekiq,main,https://github.com/mperham/sidekiq
fluentd,master,https://github.com/fluent/fluentd
devise,main,https://github.com/heartcombo/devise
rails,main,https://github.com/rails/rails
mastodon,main,https://github.com/mastodon/mastodon
pry,master,https://github.com/pry/pry
rbs,master,https://github.com/ruby/rbs
debug,master,https://github.com/ruby/debug
rake,master,https://github.com/ruby/rake
ruby,master,https://github.com/ruby/ruby
